id,quantity,directions,ingredient_name_id,recipe_name_id
444,2 teaspoons,hot chili,chili sauce,Sweet and Sour Pork Tenderloin
445,1 teaspoon,,soy sauce,Sweet and Sour Pork Tenderloin
446,1 pinch,,red pepper flake,Sweet and Sour Pork Tenderloin
447,1 tablespoon,,vegetable oil,Sweet and Sour Pork Tenderloin
448,1 teaspoon,,butter,Sweet and Sour Pork Tenderloin
449,1/4 cup,chopped(white part only),scallion,Sweet and Sour Pork Tenderloin
450,2 tablespoons,chopped top,scallion,Sweet and Sour Pork Tenderloin
451,1 pound,sirloin,beef steak,Szechuan Beef
452,1 tablespoon,,soy sauce,Szechuan Beef
453,2 teaspoons,,cornstarch,Szechuan Beef
454,1/4 teaspoon,,red pepper flake,Szechuan Beef
455,1 clove,minced,garlic,Szechuan Beef
456,2 tablespoons,,vegetable oil,Szechuan Beef
457,3 cups,floreted,broccoli,Szechuan Beef
458,2,small,onion,Szechuan Beef
459,1 (8 ounce) can,drained,water chestnut,Szechuan Beef
460,1/4 cup,,chicken broth,Szechuan Beef
461,1/2 cup,,peanut,Szechuan Beef
462,4 tablespoons,,water,Szechwan Shrimp
463,2 tablespoons,,ketchup,Szechwan Shrimp
464,1 tablespoon,,soy sauce,Szechwan Shrimp
465,2 teaspoons,,cornstarch,Szechwan Shrimp
466,1 teaspoon,,honey,Szechwan Shrimp
467,1/2 teaspoon,,red pepper flake,Szechwan Shrimp
468,1/4 teaspoon,,ground ginger,Szechwan Shrimp
469,1 tablespoon,,vegetable oil,Szechwan Shrimp
470,1/4 cup,sliced,scallion,Szechwan Shrimp
471,4 cloves,minced,garlic,Szechwan Shrimp
472,12 ounces,cooked,shrimp,Szechwan Shrimp
473,8 ounces,uncooked,spaghetti,Vegetable Lo Mein
474,1/4 cup,,vegetable oil,Vegetable Lo Mein
475,2 cups,fresh sliced,mushroom,Vegetable Lo Mein
476,1 cup,shredded,carrot,Vegetable Lo Mein
477,1/2 cup,red,bell pepper,Vegetable Lo Mein
478,1,chopped,onion,Vegetable Lo Mein
479,2 cloves,minced,garlic,Vegetable Lo Mein
480,2 cups,fresh,bean sprouts,Vegetable Lo Mein
481,1/2 cup,chooped,scallion,Vegetable Lo Mein
482,1 tablespoon,,cornstarch,Vegetable Lo Mein
483,1 cup,,chicken broth,Vegetable Lo Mein
484,1/4 cup,,hoisin sauce,Vegetable Lo Mein
485,2 tablespoons,,honey,Vegetable Lo Mein
486,1 tablespoon,,soy sauce,Vegetable Lo Mein
487,1 teaspoon,fresh grated,ginger,Vegetable Lo Mein
488,1/4 teaspoon,made into pepper,cayenne,Vegetable Lo Mein
489,1/4 teaspoon,,turmeric,Vegetable Lo Mein
490,1/4 teaspoon,,chili powder,Vegetable Lo Mein
491,1 cup,,milk,Besan (Gram Flour) Halwa
492,1/2 cup,,water,Besan (Gram Flour) Halwa
493,1/2 teaspoon,ground,cardamom,Besan (Gram Flour) Halwa
494,3/4 cup,,ghee,Besan (Gram Flour) Halwa
495,1 cup,,chickpea flour,Besan (Gram Flour) Halwa
496,1 cup,,sugar,Besan (Gram Flour) Halwa
497,1 1/4 cups,,milk,Kulfi
498,1 1/4 cups,sweetened,condensed milk,Kulfi
499,1 (16 ounce) container,frozen,whipped topping,Kulfi
500,4 slices,white bread preferably,bread crumbs,Kulfi
501,1/2 teaspoon,ground,cardamom,Kulfi
502,1 quart,for deep frying,canola oil,Shahi Tukra (Indian Bread Pudding)
503,8 slices,crusts removed and cut into 4 squares,bread,Shahi Tukra (Indian Bread Pudding)
504,1/4 cup,,cashew,Shahi Tukra (Indian Bread Pudding)
505,1/4 cup,sliced,almond,Shahi Tukra (Indian Bread Pudding)
506,2 tablespoons,,pistachio,Shahi Tukra (Indian Bread Pudding)
507,1 1/4 cups,,milk,Shahi Tukra (Indian Bread Pudding)
508,5 tablespoons,,evaporated milk,Shahi Tukra (Indian Bread Pudding)
509,3/4 cup,,sugar,Shahi Tukra (Indian Bread Pudding)
510,1 teaspoon,ground,cardamom,Shahi Tukra (Indian Bread Pudding)
511,1 pinch,,saffron,Shahi Tukra (Indian Bread Pudding)
512,2 cups,(besan),chickpea flour,Besan Laddu
513,1 cup,,ghee,Besan Laddu
514,1 cup or to taste,,sugar,Besan Laddu
515,2 teaspoons,finely chopped,pistachio,Besan Laddu
516,1 teaspoon,finely chopped,cashew,Besan Laddu
